Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty,Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT ,GROUPING FOR ITEM,Column1
Sales,7422409,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101V R VEG AMARAVILA,MILK KL,CASH PAYMENT,06-12-2024,01-08-2025,NSPD9275/25,B2C,SATHEESH R,232.2,0,0,0,232,0,232,232,0,Cash,000FG MILK,CM 475,0,9,0,232.2,0,25.8,0,101V R VEG AMARAVILA000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422325,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101V S STORE ERUMBIL,MILK KL,CASH PAYMENT,20-02-2024,01-08-2025,NSPD9214/25,B2C,SATHEESH R,180.6,0,0,0,181,0,181,181,0,Cash,000FG MILK,CM 475,0,7,0,180.6,0,25.8,0,101V S STORE ERUMBIL000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422324,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101VICHU STORE,MILK KL,CASH PAYMENT,21-02-2024,01-08-2025,NSPD9213/25,B2C,SATHEESH R,154.8,0,0,0,155,0,155,155,0,Cash,000FG MILK,CM 475,0,6,0,154.8,0,25.8,0,101VICHU STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7419849,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KARAKONAM,102 APPU STORE,MILK KL,CASH PAYMENT,12-05-2023,01-08-2025,NSKM24176/25,B2C,DHANOOP S S,129,0,0,0,129,0,129,129,0,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,102 APPU STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7419850,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KARAKONAM,102 SINDHU  BAKERY,MILK KL,CASH PAYMENT,12-05-2023,01-08-2025,NSKM24177/25,B2C,DHANOOP S S,258,0,0,0,258,0,258,258,0,Cash,000FG MILK,CM 475,0,10,0,258,0,25.8,0,102 SINDHU  BAKERY000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7429518,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,102MAHADEVA STORE,MILK KL,CASH PAYMENT,14-07-2023,01-08-2025,NSBM32975/25,B2C,MANU  M,164.3,4.11,4.11,0,173,0,173,173,0,Cash,001 FG CURD,TC 400,5,5,0,164.3,0,32.86,0,102MAHADEVA STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7429519,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,103RITTU,MILK KL,CASH PAYMENT,14-07-2023,01-08-2025,NSBM32976/25,B2C,MANU  M,98.58,2.46,2.46,0,104,0,104,104,0,Cash,001 FG CURD,TC 400,5,3,0,98.58,0,32.86,0,103RITTU001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7429520,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,104 MAAMAN STORE,MILK KL,CASH PAYMENT,14-07-2023,01-08-2025,NSBM32977/25,B2C,MANU  M,164.3,4.11,4.11,0,173,0,173,173,0,Cash,001 FG CURD,TC 400,5,5,0,164.3,0,32.86,0,104 MAAMAN STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7419852,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KARAKONAM,105 CHIKOOS STORE,MILK KL,CASH PAYMENT,19-06-2023,01-08-2025,NSKM24179/25,B2C,DHANOOP S S,129,0,0,0,129,0,129,129,0,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,105 CHIKOOS STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7419854,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KARAKONAM,105 CHOTHI HOTEL,MILK KL,CASH PAYMENT,28-06-2023,01-08-2025,NSKM24181/25,B2C,DHANOOP S S,278,0,0,0,278,0,278,278,0,Cash,000FG MILK,SM 900,0,5,0,278,0,55.6,0,105 CHOTHI HOTEL000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7419851,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KARAKONAM,105 SINDHU PROVISION STORE,MILK KL,CASH PAYMENT,12-06-2023,01-08-2025,NSKM24178/25,B2C,DHANOOP S S,129,0,0,0,129,0,129,129,0,Cash,000FG MILK,CM 475,0,5,0,129,0,25.8,0,105 SINDHU PROVISION STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7429521,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,107 BALAJI HOTEL,MILK KL,CASH PAYMENT,14-07-2023,01-08-2025,NSBM32978/25,B2C,MANU  M,164.3,4.11,4.11,0,173,0,173,173,0,Cash,001 FG CURD,TC 400,5,5,0,164.3,0,32.86,0,107 BALAJI HOTEL001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7429522,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,110MARIA STORE,MILK KL,CASH PAYMENT,14-07-2023,01-08-2025,NSBM32979/25,B2C,MANU  M,328.6,8.22,8.22,0,345,0,345,345,0,Cash,001 FG CURD,TC 400,5,10,0,328.6,0,32.86,0,110MARIA STORE001 FG CURD,,,,YES,Not in Master,,,,,,
